archip;common_name;species;iucn_category_2021;description;story
None;Little Woodstar;Chaetocercus Bombus;NT;Near Threatened;
None;Loango Weaver;Ploceus Subpersonatus;VU;Vulnerable;
None;Loggerhead Shrike;Lanius Ludovicianus;NT;Near Threatened;
None;Lord Howe Woodhen;Hypotaenidia Sylvestris;EN;Endangered;A flightless bird from Lord Howe Island, this species teeters on the edge of extinction. Known for its curious and tame nature, it plays a vital role in its ecosystem. Conservation efforts are combating the impacts of habitat loss and introduced predators.
None;Lompobattang Flycatcher;Ficedula Bonthaina;EN;Endangered;
None;Lompobattang Fruit-Dove;Ramphiculus Meridionalis;VU;Vulnerable;
None;Long-Bearded Honeyeater;Melionyx Princeps;VU;Vulnerable;
None;Long-Billed Crow;Corvus Validus;NT;Near Threatened;
None;Long-Billed Forest-Warbler;Artisornis Moreaui;CR;Critically Endangered;
None;Long-Billed Grasshopper-Warbler;Locustella Major;NT;Near Threatened;
None;Long-Billed Murrelet;Brachyramphus Perdix;NT;Near Threatened;
None;Long-Billed Myzomela;Myzomela Longirostris;NT;Near Threatened;
None;Long-Billed Partridge;Rhizothera Longirostris;NT;Near Threatened;
None;Long-Billed White-Eye;Rukia Longirostra;NT;Near Threatened;
None;Long-Legged Thicketbird;Megalurulus Rufus;EN;Endangered;
None;Long-Tailed Cinclodes;Cinclodes Pabsti;NT;Near Threatened;
None;Long-Tailed Duck;Clangula Hyemalis;VU;Vulnerable;
None;Long-Tailed Fantail;Rhipidura Opistherythra;NT;Near Threatened;
None;Long-Tailed Ground-Roller;Uratelornis Chimaera;VU;Vulnerable;
None;Loveridge'S Sunbird;Cinnyris Loveridgei;EN;Endangered;This East African sunbird is a burst of iridescent colors, from green to red, as it flits among flowers for nectar. Its high-pitched trill fills the tropical air. Agricultural expansion and climate change threaten its habitat.
None;Long-Tailed Paradigalla;Paradigalla Carunculata;NT;Near Threatened;
None;Long-Tailed Parakeet;Belocercus Longicaudus;VU;Vulnerable;
None;Long-Tailed Woodnymph;Thalurania Watertonii;EN;Endangered;
None;Long-Wattled Umbrellabird;Cephalopterus Penduliger;VU;Vulnerable;
None;Long-Whiskered Owlet;Xenoglaux Loweryi;VU;Vulnerable;
None;Lord Derby'S Parakeet;Psittacula Derbiana;NT;Near Threatened;
None;Ludwig'S Bustard;Neotis Ludwigii;EN;Endangered;
None;Lulu'S Tody-Flycatcher;Poecilotriccus Luluae;EN;Endangered;
None;Luzon Bleeding-Heart;Gallicolumba Luzonica;NT;Near Threatened;
None;Luzon Highland Scops-Owl;Otus Longicornis;NT;Near Threatened;
None;Luzon Striped Babbler;Zosterornis Striatus;NT;Near Threatened;
None;Luzon Water-Redstart;Phoenicurus Bicolor;NT;Near Threatened;
None;Newton'S Fiscal;Lanius Newtoni;CR;Critically Endangered;A sharp-eyed bird from the island of S'o Tom', its sleek black and white plumage stood out against its forested backdrop. Logging and agricultural expansion have drastically reduced its habitat.
None;Macaroni Penguin;Eudyptes Chrysolophus;VU;Vulnerable;
None;Maccoa Duck;Oxyura Maccoa;EN;Endangered;
None;Macgillivray'S Prion;Pachyptila Macgillivrayi;EN;Endangered;
None;Macgregor'S Honeyeater;Macgregoria Pulchra;VU;Vulnerable;
None;Madagascar Crested Ibis;Lophotibis Cristata;NT;Near Threatened;
None;Madagascar Fish-Eagle;Haliaeetus Vociferoides;CR;Critically Endangered;
None;Madagascar Grebe;Tachybaptus Pelzelnii;EN;Endangered;
None;Madagascar Heron;Ardea Humbloti;EN;Endangered;
None;Madagascar Jacana;Actophilornis Albinucha;EN;Endangered;
None;Madagascar Marsh-Harrier;Circus Macrosceles;EN;Endangered;
None;Madagascar Pond-Heron;Ardeola Idae;EN;Endangered;
None;Madagascar Pratincole;Glareola Ocularis;NT;Near Threatened;
None;Madagascar Rail;Rallus Madagascariensis;VU;Vulnerable;
None;Madagascar Red Owl;Tyto Soumagnei;VU;Vulnerable;
None;Madagascar Snipe;Gallinago Macrodactyla;VU;Vulnerable;
None;Madagascar Sparrowhawk;Accipiter Madagascariensis;NT;Near Threatened;
None;Madagascar Teal;Anas Bernieri;EN;Endangered;
None;Madanga;Madanga Ruficollis;EN;Endangered;
None;Madeira Parakeet;Pyrrhura Snethlageae;VU;Vulnerable;
None;Magdalena Antbird;Sipia Palliata;NT;Near Threatened;
None;Magdalena Tapaculo;Scytalopus Rodriguezi;EN;Endangered;
None;Magellanic Plover;Pluvianellus Socialis;NT;Near Threatened;
None;Magenta Petrel;Pterodroma Magentae;CR;Critically Endangered;
None;Makatea Fruit-Dove;Ptilinopus Chalcurus;VU;Vulnerable;
None;Makira Boobook;Ninox Roseoaxillaris;VU;Vulnerable;
None;Makira Flycatcher;Myiagra Cervinicauda;NT;Near Threatened;
None;Makira Moorhen;Pareudiastes Silvestris;CR;Critically Endangered;
None;Makira Thrush;Zoothera Margaretae;NT;Near Threatened;
None;Malabar Grey Hornbill;Ocyceros Griseus;VU;Vulnerable;
None;Sinu Parakeet;Pyrrhura Subandina;CR (PE);Critically Endangered (Possibly Extinct);This colorful parakeet from Colombia disappeared after its lowland forest habitat was destroyed for agriculture.
None;Madagascar Sacred Ibis;Threskiornis Bernieri;EN;Endangered;With its contrasting white body and black head, this bird is revered in local traditions as a symbol of purity. Its raucous calls echo in Madagascar's wetlands, where it feeds on aquatic prey. Wetland drainage and pollution are the greatest threats to this iconic species.
None;Madagascar Serpent-Eagle;Eutriorchis Astur;EN;Endangered;This enigmatic bird of prey from Madagascar is known for its piercing yellow eyes and slow, deliberate flight. It hunts stealthily through dense rainforests, preying on small animals. Deforestation and hunting have made it a rare sight.
None;Malabar Pied Hornbill;Anthracoceros Coronatus;NT;Near Threatened;
None;Malaita Boobook;Ninox Malaitae;VU;Vulnerable;
None;Malaita Fantail;Rhipidura Malaitae;VU;Vulnerable;
None;Malaita Monarch;Symposiachrus Malaitae;NT;Near Threatened;
None;Malaita Myzomela;Myzomela Malaitae;NT;Near Threatened;
None;Malay Banded Pitta;Hydrornis Irena;NT;Near Threatened;
None;Malay Blue-Banded Kingfisher;Alcedo Peninsulae;NT;Near Threatened;
None;Malay Blue-Flycatcher;Cyornis Turcosus;NT;Near Threatened;
None;Glaucous Macaw;Anodorhynchus Glaucus;CR (PE);Critically Endangered (Possibly Extinct);A striking blue parrot from South America, it was driven to extinction by habitat loss and the pet trade.
None;Mallee Emu-Wren;Stipiturus Mallee;EN;Endangered;A tiny bird with emu-like tail feathers, this Australian wren is a master of camouflage in mallee scrublands. Its soft trills and hopping movements bring life to the arid landscape. Habitat destruction from fire and agriculture has pushed it towards extinction.
None;Mangrove Hummingbird;Amazilia Boucardi;EN;Endangered;This shimmering green hummingbird, with a white throat and curved bill, is a specialist of Costa Rica's mangrove forests. It feeds on nectar and insects, darting between flowers with incredible speed. Mangrove destruction has caused its population to plummet.
None;Malay Brown Barbet;Caloramphus Hayii;NT;Near Threatened;
None;Malay Bullfinch;Pyrrhula Waterstradti;VU;Vulnerable;
None;Malay Crested Fireback;Lophura Rufa;VU;Vulnerable;
None;Malay Crestless Fireback;Lophura Erythrophthalma;VU;Vulnerable;
None;Malay Honeyguide;Indicator Archipelagicus;NT;Near Threatened;
None;Spix'S Macaw;Cyanopsitta Spixii;EW;Extinct in the Wild;"""Known as the """"Blue Macaw,"""" this parrot from Brazil enchanted all with its vibrant cobalt feathers. Its numbers dwindled due to habitat destruction and illegal poaching, making it extinct in the wild by the early 2000s. However, a global breeding program is paving the way for its reintroduction to the wild.,"""
None;Malay Peacock-Pheasant;Polyplectron Malacense;VU;Vulnerable;
None;Malay Plover;Charadrius Peronii;NT;Near Threatened;
None;Malay Whistling-Thrush;Myophonus Robinsoni;NT;Near Threatened;
None;Malaysian Crested Argus;Rheinardia Nigrescens;NT;Near Threatened;
None;Malherbe'S Parakeet;Cyanoramphus Malherbi;CR;Critically Endangered;
Australia;Malleefowl;Leipoa Ocellata;VU;Vulnerable;
None;Mangaia Kingfisher;Todiramphus Ruficollaris;VU;Vulnerable;
None;Mangrove Finch;Geospiza Heliobates;CR;Critically Endangered;
None;Mangrove Pitta;Pitta Megarhyncha;NT;Near Threatened;
None;Manipur Bush-Quail;Perdicula Manipurensis;EN;Endangered;
None;Mantanani Scops-Owl;Otus Mantananensis;NT;Near Threatened;
None;Mantled Hawk;Pseudastur Polionotus;NT;Near Threatened;
None;Manus Dwarf-Kingfisher;Ceyx Dispar;NT;Near Threatened;
None;Manus Fantail;Rhipidura Semirubra;VU;Vulnerable;
None;Manus Monarch;Symposiachrus Infelix;NT;Near Threatened;
None;Mao;Gymnomyza Samoensis;EN;Endangered;
None;Maranon Antshrike;Thamnophilus Shumbae;VU;Vulnerable;
None;Maranon Spinetail;Synallaxis Maranonica;CR;Critically Endangered;
None;Marbled Murrelet;Brachyramphus Marmoratus;EN;Endangered;
None;Marbled Teal;Marmaronetta Angustirostris;VU;Vulnerable;
None;Mariana Crow;Corvus Kubaryi;CR;Critically Endangered;
None;Mariana Fruit-Dove;Ptilinopus Roseicapilla;EN;Endangered;
None;Mariana Swiftlet;Aerodramus Bartschi;EN;Endangered;
None;Markham'S Storm-Petrel;Hydrobates Markhami;NT;Near Threatened;
None;Maroon-Breasted Philentoma;Philentoma Velata;NT;Near Threatened;
None;Maroon-Fronted Parrot;Rhynchopsitta Terrisi;EN;Endangered;
None;Marquesas Ground-Dove;Alopecoenas Rubescens;EN;Endangered;
None;Marsh Antwren;Formicivora Paludicola;CR;Critically Endangered;
None;Marsh Babbler;Pellorneum Palustre;VU;Vulnerable;
None;Marsh Grassbird;Helopsaltes Pryeri;NT;Near Threatened;
None;Philippine Cockatoo;Cacatua Haematuropygia;CR;Critically Endangered;Endemic to the Philippines, this bird is adorned with a strikingly large bill and vibrant black-and-white plumage. Its calls were a familiar sound in its native forests, now silenced by habitat destruction.
None;Marsh Seedeater;Sporophila Palustris;EN;Endangered;
None;Marsh Tapaculo;Scytalopus Iraiensis;EN;Endangered;
None;Martial Eagle;Polemaetus Bellicosus;EN;Endangered;
None;New Caledonian Lorikeet;Charmosyna Diadema;CR (PE);Critically Endangered (Possibly Extinct);An exquisite nectar-feeder, it was last seen decades ago, likely lost to habitat destruction.
None;Pink-Headed Duck;Rhodonessa Caryophyllacea;CR;Critically Endangered;A wetland jewel with a bright pink head, its unique appearance made it a wonder of India and Bangladesh. Drained wetlands and hunting have relegated it to history books.
None;Martinique Oriole;Icterus Bonana;VU;Vulnerable;
None;Masafuera Rayadito;Aphrastura Masafuerae;CR;Critically Endangered;
None;Masatierra Petrel;Pterodroma Defilippiana;VU;Vulnerable;
None;Mascarene Petrel;Pseudobulweria Aterrima;CR;Critically Endangered;
None;Mascarene Swiftlet;Aerodramus Francicus;NT;Near Threatened;
None;Masked Antpitta;Hylopezus Auricularis;VU;Vulnerable;
None;Masked Finfoot;Heliopais Personatus;EN;Endangered;
None;Masked Mountain-Tanager;Tephrophilus Wetmorei;VU;Vulnerable;
None;Masked Shining-Parrot;Prosopeia Personata;NT;Near Threatened;
None;Matsudaira'S Storm-Petrel;Hydrobates Matsudairae;VU;Vulnerable;
None;Maui Alauahio;Paroreomyza Montana;EN;Endangered;
None;Maui Parrotbill;Pseudonestor Xanthophrys;CR;Critically Endangered;
None;Mauritius Bulbul;Hypsipetes Olivaceus;VU;Vulnerable;
None;Mauritius Cuckooshrike;Lalage Typica;VU;Vulnerable;
None;Marquesas Monarch;Pomarea Mendozae;EN;Endangered;Endemic to the Marquesas Islands, this monarch has striking black plumage and an inquisitive nature. Its melodic songs echo through the sparse forests of its island home. Habitat loss and invasive predators have decimated its numbers.
None;Mauritius Fody;Foudia Rubra;EN;Endangered;
None;Mauritius Olive White-Eye;Zosterops Chloronothos;CR;Critically Endangered;
None;Mayotte Drongo;Dicrurus Waldenii;VU;Vulnerable;
None;Medium Tree-Finch;Geospiza Pauper;CR;Critically Endangered;
None;Meek'S Lorikeet;Charmosyna Meeki;NT;Near Threatened;
None;Mekong Wagtail;Motacilla Samveasnae;NT;Near Threatened;
None;Meller'S Duck;Anas Melleri;EN;Endangered;
None;Melodious Babbler;Malacopteron Palawanense;NT;Near Threatened;
None;Mentawai Scops-Owl;Otus Mentawi;NT;Near Threatened;
None;Mexican Parrotlet;Forpus Cyanopygius;NT;Near Threatened;
None;Mexican Rail;Rallus Tenuirostris;NT;Near Threatened;
None;Mexican Sheartail;Doricha Eliza;NT;Near Threatened;
None;Mexican Woodnymph;Thalurania Ridgwayi;VU;Vulnerable;
None;Micronesian Imperial-Pigeon;Ducula Oceanica;VU;Vulnerable;
Micronesia;Micronesian Scrubfowl;Megapodius Laperouse;NT;Near Threatened;
None;Mikado Pheasant;Syrmaticus Mikado;NT;Near Threatened;
None;Military Macaw;Ara Militaris;VU;Vulnerable;
None;Millerbird;Acrocephalus Familiaris;CR;Critically Endangered;
None;Minahasa Masked-Owl;Tyto Inexspectata;VU;Vulnerable;
None;Minahasa Shortwing;Heinrichia Simplex;NT;Near Threatened;
None;Minas Gerais Tyrannulet;Phylloscartes Roquettei;EN;Endangered;
None;Mindanao Bleeding-Heart;Gallicolumba Crinigera;VU;Vulnerable;
None;Mindanao Boobook;Ninox Spilocephala;NT;Near Threatened;
None;Mindanao Highland Scops-Owl;Otus Mirus;NT;Near Threatened;
None;Mindanao Lorikeet;Trichoglossus Johnstoniae;NT;Near Threatened;
None;Mindanao Miniature Babbler;Micromacronus Sordidus;NT;Near Threatened;
None;Mindanao Pygmy Babbler;Dasycrotapha Plateni;NT;Near Threatened;
None;Mindanao Racquet-Tail;Prioniturus Waterstradti;NT;Near Threatened;
None;Mindanao Serin;Chrysocorythus Mindanensis;NT;Near Threatened;
None;Mindanao Wattled Broadbill;Sarcophanops Steerii;VU;Vulnerable;
None;Marvelous Spatuletail;Loddigesia Mirabilis;EN;Endangered;Native to Peru, this hummingbird dazzles with its long, spatula-shaped tail feathers and iridescent plumage. Its aerial courtship displays are nothing short of spectacular. Habitat loss threatens this marvel of the natural world.
None;Mindoro Bleeding-Heart;Gallicolumba Platenae;CR;Critically Endangered;
None;Mindoro Boobook;Ninox Mindorensis;VU;Vulnerable;
None;Mindoro Racquet-Tail;Prioniturus Mindorensis;VU;Vulnerable;
None;Matinan Flycatcher;Cyornis Sanfordi;EN;Endangered;This tiny bird, with its delicate olive plumage, is native to Indonesia's forests. It flits gracefully through the canopy, feeding on insects. Logging and habitat fragmentation have caused significant declines in its population.
None;Mindoro Scops-Owl;Otus Mindorensis;NT;Near Threatened;
None;Mishana Tyrannulet;Zimmerius Villarejoi;VU;Vulnerable;
None;Moheli Brush-Warbler;Nesillas Mariae;EN;Endangered;
None;Moheli Bulbul;Hypsipetes Moheliensis;EN;Endangered;
None;Moluccan Goshawk;Accipiter Henicogrammus;NT;Near Threatened;
Indonesia;Moluccan Scrubfowl;Eulipoa Wallacei;VU;Vulnerable;
None;Moluccan Woodcock;Scolopax Rochussenii;VU;Vulnerable;
None;Polynesian Ground-Dove;Alopecoenas Erythropterus;CR;Critically Endangered;A quiet forest dweller revered in Polynesian culture, its intricate plumage blended earthy and pastel tones. Habitat destruction and invasive predators have pushed it to the brink.
None;Montane Racquet-Tail;Prioniturus Montanus;NT;Near Threatened;
None;Montane Tiny Greenbul;Phyllastrephus Albigula;NT;Near Threatened;
None;Monteiro'S Bush-Shrike;Malaconotus Monteiri;NT;Near Threatened;
None;Monteiro'S Storm-Petrel;Hydrobates Monteiroi;VU;Vulnerable;
None;Montserrat Oriole;Icterus Oberi;VU;Vulnerable;
None;Moorea Kingfisher;Todiramphus Youngi;NT;Near Threatened;
None;Moorea Reed-Warbler;Acrocephalus Longirostris;CR;Critically Endangered;
None;Moorland Francolin;Scleroptila Psilolaema;NT;Near Threatened;
None;Moreau'S Sunbird;Cinnyris Moreaui;NT;Near Threatened;
None;Morotai Pitta;Pitta Morotaiensis;NT;Near Threatened;
None;Mottled Petrel;Pterodroma Inexpectata;NT;Near Threatened;
None;Mottled Piculet;Picumnus Nebulosus;NT;Near Threatened;
None;Mount Cameroon Francolin;Pternistis Camerunensis;EN;Endangered;
None;Mount Cameroon Speirops;Zosterops Melanocephalus;VU;Vulnerable;
None;Mount Karthala White-Eye;Zosterops Mouroniensis;VU;Vulnerable;
None;Mount Kupe Bush-Shrike;Chlorophoneus Kupeensis;EN;Endangered;
None;Mountain Buzzard;Buteo Oreophilus;NT;Near Threatened;
None;Mountain Hawk-Eagle;Nisaetus Nipalensis;NT;Near Threatened;
None;Mountain Peacock-Pheasant;Polyplectron Inopinatum;VU;Vulnerable;
None;Mauritius Kestrel;Falco Punctatus;EN;Endangered;With its sleek body and sharp talons, this bird of prey is a symbol of resilience, recovering from just four individuals in the 1970s. Its high-pitched calls ring out as it soars above the island's forests. Continued habitat restoration is essential for its long-term survival.
None;Mountain Pipit;Anthus Hoeschi;NT;Near Threatened;
None;Mountain Plover;Charadrius Montanus;NT;Near Threatened;
None;Mountain Shrike;Lanius Validirostris;NT;Near Threatened;
None;Milky Stork;Mycteria Cinerea;EN;Endangered;An elegant wader with a white body and long, curved yellow bill, this stork inhabits Southeast Asia's wetlands. Its methodical foraging in shallow waters is a sight to behold. Pollution and habitat destruction threaten its dwindling numbers.
None;Mountain Starling;Aplonis Santovestris;EN;Endangered;
None;Moustached Antpitta;Grallaria Alleni;VU;Vulnerable;
None;Moustached Hawk-Cuckoo;Hierococcyx Vagans;NT;Near Threatened;
None;Moustached Woodcreeper;Xiphocolaptes Falcirostris;VU;Vulnerable;
None;Mozambique Forest-Warbler;Artisornis Sousae;EN;Endangered;
None;Mrs Hume'S Pheasant;Syrmaticus Humiae;NT;Near Threatened;
None;Multicolored Tanager;Chlorochrysa Nitidissima;NT;Near Threatened;
None;Munchique Wood-Wren;Henicorhina Negreti;VU;Vulnerable;
None;Mussau Fantail;Rhipidura Matthiae;NT;Near Threatened;
None;Mussau Flycatcher;Myiagra Hebetior;VU;Vulnerable;
None;Mussau Triller;Lalage Conjuncta;VU;Vulnerable;
None;Naga Wren-Babbler;Spelaeornis Chocolatinus;VU;Vulnerable;
None;Nahan'S Partridge;Ptilopachus Nahani;VU;Vulnerable;
None;Namuli Apalis;Apalis Lynesi;EN;Endangered;
None;Napo Sabrewing;Campylopterus Villaviscensio;NT;Near Threatened;
None;Narcondam Hornbill;Rhyticeros Narcondami;VU;Vulnerable;
None;Narrow-Billed Antwren;Formicivora Iheringi;NT;Near Threatened;
None;Natewa Silktail;Lamprolia Klinesmithi;VU;Vulnerable;
None;Naung Mung Wren-Babbler;Napothera Naungmungensis;NT;Near Threatened;
None;Nauru Reed-Warbler;Acrocephalus Rehsei;VU;Vulnerable;
None;Nava'S Wren;Hylorchilus Navai;VU;Vulnerable;
None;Nechisar Nightjar;Caprimulgus Solala;VU;Vulnerable;
None;Neergaard'S Sunbird;Cinnyris Neergaardi;NT;Near Threatened;
None;Negros Bleeding-Heart;Gallicolumba Keayi;CR;Critically Endangered;
None;Negros Fruit-Dove;Ptilinopus Arcanus;CR;Critically Endangered;
None;Negros Striped Babbler;Zosterornis Nigrorum;EN;Endangered;
None;Nendo Shrikebill;Clytorhynchus Sanctaecrucis;EN;Endangered;
None;New Britain Boobook;Ninox Odiosa;VU;Vulnerable;
None;New Britain Bronzewing;Henicophaps Foersteri;VU;Vulnerable;
None;New Britain Flyrobin;Monachella Coultasi;NT;Near Threatened;
None;New Britain Goshawk;Accipiter Princeps;VU;Vulnerable;
None;New Britain Kingfisher;Todiramphus Albonotatus;NT;Near Threatened;
None;New Britain Rail;Hypotaenidia Insignis;NT;Near Threatened;
None;Mindoro Hornbill;Penelopides Mindorensis;EN;Endangered;This striking Philippine bird, with its glossy black feathers and vibrant red-orange bill, is a charismatic figure in the island's forests. Its deep, resonant calls echo through the canopy, often signaling its presence long before it is seen. Logging and agricultural expansion have severely fragmented its habitat, placing it under significant threat.
None;New Britain Sparrowhawk;Accipiter Brachyurus;VU;Vulnerable;
None;New Britain Thicketbird;Megalurulus Grosvenori;VU;Vulnerable;
None;New Caledonian Cicadabird;Edolisoma Anale;NT;Near Threatened;
None;Mindoro Imperial-Pigeon;Ducula Mindorensis;EN;Endangered;A large and elegant pigeon, it displays a combination of deep gray and metallic green feathers that shimmer in the sunlight. Its low, cooing calls resonate in the Mindoro forests, where it plays a role in seed dispersal. Logging and agricultural expansion have severely reduced its habitat, making it critically endangered.
None;New Caledonian Imperial-Pigeon;Ducula Goliath;NT;Near Threatened;
None;New Caledonian Owlet-Nightjar;Aegotheles Savesi;CR;Critically Endangered;
None;New Georgia Cicadabird;Edolisoma Pygmaeum;NT;Near Threatened;
None;New Zealand Falcon;Falco Novaeseelandiae;NT;Near Threatened;
None;New Zealand Grebe;Poliocephalus Rufopectus;NT;Near Threatened;
None;New Zealand Kaka;Nestor Meridionalis;EN;Endangered;
None;New Zealand Pigeon;Hemiphaga Novaeseelandiae;NT;Near Threatened;
None;New Zealand Rockwren;Xenicus Gilviventris;EN;Endangered;
None;New Zealand Storm-Petrel;Fregetta Maoriana;CR;Critically Endangered;
None;Newell'S Shearwater;Puffinus Newelli;CR;Critically Endangered;
None;Moheli Scops-Owl;Otus Moheliensis;EN;Endangered;This tiny owl, with its mottled brown plumage and expressive yellow eyes, is found only on the island of Moheli. Its haunting, repetitive hoots fill the night air, a sound tied to local folklore. Habitat loss from logging and farming threatens this enigmatic nocturnal predator.
None;Nias Hill Myna;Gracula Robusta;CR;Critically Endangered;
None;Niceforo'S Wren;Thryophilus Nicefori;CR;Critically Endangered;
None;Nicobar Bulbul;Ixos Nicobariensis;NT;Near Threatened;
None;Nicobar Imperial-Pigeon;Ducula Nicobarica;NT;Near Threatened;
None;Nicobar Jungle-Flycatcher;Cyornis Nicobaricus;NT;Near Threatened;
None;Nicobar Parakeet;Psittacula Caniceps;NT;Near Threatened;
None;Nicobar Pigeon;Caloenas Nicobarica;NT;Near Threatened;
None;Nicobar Scops-Owl;Otus Alius;NT;Near Threatened;
Nicobar Islands;Nicobar Scrubfowl;Megapodius Nicobariensis;VU;Vulnerable;
None;Nicobar Sparrowhawk;Accipiter Butleri;VU;Vulnerable;
None;Night Parrot;Pezoporus Occidentalis;EN;Endangered;
None;Nightingale Finch;Nesospiza Questi;VU;Vulnerable;
None;Nihoa Finch;Telespiza Ultima;CR;Critically Endangered;
None;Nilgiri Blue Sholakili;Sholicola Major;EN;Endangered;
None;Mountain Grackle;Macroagelaius Subalaris;EN;Endangered;This blackbird from Colombia's highlands is known for its glossy feathers and melodious calls. It forms small flocks that forage in montane forests. Deforestation for agriculture is the primary threat to this rare species.
None;Nilgiri Chilappan;Montecincla Cachinnans;EN;Endangered;
None;Nilgiri Pipit;Anthus Nilghiriensis;VU;Vulnerable;
None;Nilgiri Woodpigeon;Columba Elphinstonii;VU;Vulnerable;
None;Nimba Flycatcher;Melaenornis Annamarulae;VU;Vulnerable;
None;Noble Snipe;Gallinago Nobilis;NT;Near Threatened;
None;Nonggang Babbler;Stachyris Nonggangensis;VU;Vulnerable;
None;Norfolk Gerygone;Gerygone Modesta;NT;Near Threatened;
None;Norfolk Robin;Petroica Multicolor;EN;Endangered;
None;Noronha Elaenia;Elaenia Ridleyana;VU;Vulnerable;
None;Noronha Vireo;Vireo Gracilirostris;NT;Near Threatened;
New Zealand;North Island Brown Kiwi;Apteryx Mantelli;VU;Vulnerable;
None;North Island Kokako;Callaeas Wilsoni;NT;Near Threatened;
None;North Island Saddleback;Philesturnus Rufusater;NT;Near Threatened;
None;North Philippine Dwarf-Kingfisher;Ceyx Melanurus;VU;Vulnerable;
None;North Philippine Hawk-Eagle;Nisaetus Philippensis;EN;Endangered;
None;Northern Bobwhite;Colinus Virginianus;NT;Near Threatened;
None;Northern Festive Amazon;Amazona Bodini;NT;Near Threatened;
None;Northern Ground-Hornbill;Bucorvus Abyssinicus;VU;Vulnerable;
None;Northern Lapwing;Vanellus Vanellus;NT;Near Threatened;
None;Northern Mealy Amazon;Amazona Guatemalae;NT;Near Threatened;
None;Northern Red-Breasted Plover;Charadrius Aquilonius;NT;Near Threatened;
None;Northern Rufous Hornbill;Buceros Hydrocorax;VU;Vulnerable;
None;Northern Screamer;Chauna Chavaria;NT;Near Threatened;
None;Northern Silvery Grebe;Podiceps Juninensis;NT;Near Threatened;
None;Northern Silvery Kingfisher;Ceyx Flumenicola;NT;Near Threatened;
None;Northern Sooty Woodpecker;Mulleripicus Funebris;NT;Near Threatened;
None;Nubian Bustard;Neotis Nuba;NT;Near Threatened;
None;Nukuhiva Imperial-Pigeon;Ducula Galeata;EN;Endangered;
None;Numfor Leaf-Warbler;Phylloscopus Maforensis;VU;Vulnerable;
None;Numfor Paradise-Kingfisher;Tanysiptera Carolinae;NT;Near Threatened;
None;Nyasa Lovebird;Agapornis Lilianae;NT;Near Threatened;
None;Oahu Amakihi;Chlorodrepanis Flava;VU;Vulnerable;
None;Oahu Elepaio;Chasiempis Ibidis;EN;Endangered;
None;Oaxaca Hummingbird;Eupherusa Cyanophrys;EN;Endangered;
None;Oberländer'S Ground-Thrush;Geokichla Oberlaenderi;NT;Near Threatened;
None;Ocellated Quail;Cyrtonyx Ocellatus;VU;Vulnerable;
None;Ocellated Turkey;Meleagris Ocellata;NT;Near Threatened;
None;Ochraceous Attila;Attila Torridus;VU;Vulnerable;
None;Ochre-Bellied Boobook;Ninox Ochracea;NT;Near Threatened;
None;Ochre-Bellied Dove;Leptotila Ochraceiventris;VU;Vulnerable;
None;Ochre-Breasted Antpitta;Grallaricula Flavirostris;NT;Near Threatened;
None;Ochre-Breasted Pipit;Anthus Nattereri;VU;Vulnerable;
None;Ochre-Fronted Antpitta;Grallaricula Ochraceifrons;EN;Endangered;
None;Ochre-Marked Parakeet;Pyrrhura Cruentata;VU;Vulnerable;
None;Noisy Scrub-Bird;Atrichornis Clamosus;EN;Endangered;With rich brown plumage and a secretive nature, this Australian bird is easier heard than seen. Its loud, complex song can be heard echoing through dense underbrush, a sound now restricted to a few isolated areas. Fire and habitat destruction have left this once-common species clinging to survival.
None;Ochre-Rumped Antbird;Drymophila Ochropyga;NT;Near Threatened;
None;Ochre-Rumped Bunting;Emberiza Yessoensis;NT;Near Threatened;
None;Ogea Monarch;Mayrornis Versicolor;NT;Near Threatened;
New Zealand;Okarito Kiwi;Apteryx Rowi;VU;Vulnerable;
None;Okinawa Robin;Larvivora Namiyei;NT;Near Threatened;
None;Okinawa Woodpecker;Dendrocopos Noguchii;CR;Critically Endangered;
None;Olivaceous Greenlet;Hylophilus Olivaceus;NT;Near Threatened;
None;Olive Finch;Arremon Castaneiceps;NT;Near Threatened;
None;Olive-Backed Forest-Robin;Stiphrornis Pyrrholaemus;NT;Near Threatened;
None;Olive-Backed Woodpecker;Chloropicoides Rafflesii;NT;Near Threatened;
None;Olive-Flanked Robin-Chat;Dessonornis Anomalus;NT;Near Threatened;
None;Olive-Headed Weaver;Ploceus Olivaceiceps;NT;Near Threatened;
None;Olive-Sided Flycatcher;Contopus Cooperi;NT;Near Threatened;
None;Olive-Winged Trumpeter;Psophia Dextralis;EN;Endangered;
None;Olrog'S Gull;Larus Atlanticus;NT;Near Threatened;
None;Omao;Myadestes Obscurus;VU;Vulnerable;
None;Opal-Crowned Manakin;Lepidothrix Iris;VU;Vulnerable;
None;Orange-Banded Flycatcher;Nephelomyias Lintoni;NT;Near Threatened;
None;Orange-Banded Thrush;Geokichla Peronii;NT;Near Threatened;
None;Orange-Bellied Antwren;Terenura Sicki;CR;Critically Endangered;
None;Northern Bald Ibis;Geronticus Eremita;EN;Endangered;Sporting a bare, red head and iridescent black feathers, this bird is an ancient icon, revered in Egyptian hieroglyphs. It lives in semi-arid regions, feeding on insects and small animals. Habitat loss and hunting have made it critically endangered.
